channel_id,title,description,custom_url,published_at,country,default_language,thumbnail_url,subscriber_count,video_count,view_count,uploads_playlist_id,published_at_local,avg_views_per_video
UCV-hall6WGCn1NY7dofVJJA,NEWSWIRE,NewsWire.lk,@newswiresl,2012-05-22T19:31:19Z,LK,,https://yt3.ggpht.com/sMulLfyqR1XF1B2orYTgyBTlxnm_ndyv3QZ0L60xLeqkxpMYye76mOl5amqC7qhabEGAXw7pZw=s800-c-k-c0x00ffffff-no-rj,54400,288,8863505,UUV-hall6WGCn1NY7dofVJJA,2012-05-23 01:01:19+05:30,30776.059027777777
UCJpM66ypgqDMT-buL1ALuLA,Newsfirst Tamil - Sri Lanka,"Newsfirst Tamil Sri Lanka  - Sri Lankas first international news channel, broadcasting in Sinhalese, Tamil and English across three TV channels, four radio channels and streamed live at www.newsfirst.lk tamil ",@newsfirsttamilsl,2019-06-20T06:49:55Z,US,,https://yt3.ggpht.com/ytc/AIdro_ludfplVnYxwlZZPz7CZDBocuEkpnO3jUhPCLPJBEd7Mg=s800-c-k-c0x00ffffff-no-rj,637000,46119,207077720,UUJpM66ypgqDMT-buL1ALuLA,2019-06-20 12:19:55+05:30,4490.073939157397
UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,"Sri Lanka's No. 1 television channel that broadcasts contemporary content which uploads authentic Sri Lankan values. Launched in 2005, TV Derana is one of Sri Lanka's most popular television networks.

",@tvderanaofficial,2012-01-26T11:02:27Z,LK,,https://yt3.ggpht.com/OWplYI3G1FcxDjSPUgiIM-AlaQOAjOyUrcqtp_5TgOBm9rbtBwTDtPiXP9V7P3YGBRLgqh9mQg=s800-c-k-c0x00ffffff-no-rj,5910000,37480,5798604370,UURDDfbYPHX_GUJ4lcQYTc8A,2012-01-26 16:32:27+05:30,154711.9629135539
UCOtYyt7W5PmPnwQjWWF_Z-Q,Hiru TV,"A new revolution begins. The first and only digitally-enabled HD television channel in the country, Hiru TV entered Sri Lanka's television history by offering island-wide coverage from day one.

Hiru TV combines high definition technology and quality program lineups to provide television audiences with an unmatched array of entertainment options. Viewers can enjoy programs ranging from teledramas to documentaries or simply watch their favourite song videos on music shows.

With the option of watching live telecasts on TV or online, hours of entertainment is guaranteed to viewers. Hiru TV,a proud brand of the Asia Broadcasting Corporation Private limited, a member of Rayynor Silva holdings.",@hirutvofficial,2015-05-19T06:33:12Z,LK,,https://yt3.ggpht.com/ZMv_fXS2WqfchK65Ztt56kn9hwuJJPsUr88qnYM3hI42N0UCOYL26rqi3WLKhJyFT1rPAXCVLA=s800-c-k-c0x00ffffff-no-rj,4680000,51360,3311628998,UUOtYyt7W5PmPnwQjWWF_Z-Q,2015-05-19 12:03:12+05:30,64478.757749221186
UCvivK4AwTrkPBnmrObTFxaQ,Bathiya N Santhush,,@bnsmusic,2010-01-15T15:17:11Z,LK,,https://yt3.ggpht.com/PRNbfNDAkMRW-AtuE2SvEcqRmvyTBfMvmWngQ_G9HFtlQXK3YMNGZ6SXb6s4ocYKa3JpuWYRUy4=s800-c-k-c0x00ffffff-no-rj,620000,284,152751946,UUvivK4AwTrkPBnmrObTFxaQ,2010-01-15 20:47:11+05:30,537858.9647887324
UC-mOUuQBUvlB94pjZdjB5ig,Yureni Noshika,Movie/ TV Actress | Presenter | Entertainer,@yureninoshikaofficial,2015-12-19T12:26:38Z,LK,,https://yt3.ggpht.com/lTIVzM-6PLzt7h2K5PIlGY20WOfqUyahdiXc005gBcg_6HKvNxwdTf8YU22xf38eyuMazAfvDw=s800-c-k-c0x00ffffff-no-rj,102000,231,27696423,UU-mOUuQBUvlB94pjZdjB5ig,2015-12-19 17:56:38+05:30,119897.93506493507
UCYfYZgkolI8VpiIpL767N7g,Charitha Attalage - Topic,,,2018-05-15T12:26:30Z,,,https://yt3.ggpht.com/Mk8y-VpsBZzRM-Kj6pdY4XS6X7IYk_AYHnHmu8zEvha_DfeYgDsutP2Lkws_LdoZ0olmbYm2PQ=s800-c-k-c0x00ffffff-no-rj,49300,85,7302445,UUYfYZgkolI8VpiIpL767N7g,2018-05-15 17:56:30+05:30,85911.11764705883
UCWYXLMuL0m10w53wnMaUf3g,UMARIA,"WELCOME TO THE OFFICIAL UMARIA YOUTUBE CHANNEL !

Subscribe now for new music and exclusive videos!
",@umariamusic,2013-05-07T15:31:10Z,LK,,https://yt3.ggpht.com/0l2dZ5ur8zQ5NEEJpDdZw9yyayWeqRKFs2XUXGQBLsmYL9BhSn1MOwUn7_YDKmiMu1RGWopbLMY=s800-c-k-c0x00ffffff-no-rj,336000,73,42289696,UUWYXLMuL0m10w53wnMaUf3g,2013-05-07 21:01:10+05:30,579310.904109589
UCPHWwelDVlaWqrT2F8qwmiA,Windy Goonatillake,✨Windy Goonatillake - Official Youtube Channel✨,@windygoonatillake,2008-07-10T17:35:50Z,US,,https://yt3.ggpht.com/uOfBt_PeHn6fuUYz3p5JmUig5H80gAoBa3RRK3NQV3HuOyflYiDdwFPknd7vVYvC05FaNJiAkQ=s800-c-k-c0x00ffffff-no-rj,363000,69,59361886,UUPHWwelDVlaWqrT2F8qwmiA,2008-07-10 23:05:50+05:30,860317.1884057971
UCQTcNhAZidy1i9wwmdgf2Lw,ITN Sri Lanka,"The Independent Television Network (ITN) The Pioneer Television Station in Sri Lanka since 1979. With Thirty years behind us, local programs are given pride of place catering to all strata of society News and Current Affairs, Tele-Dramas, Discussion, Educational, Entertainment, Magazines, and Sports are given pride of place. Special emphasis is also given to Children's Women's and religious programs.

* Our Vision - The most creative media organization in South East Asia.
* Our Mission - Uplifting people's lives with news and programs that inform, inspire, educate, and entertain in keeping with Sri Lankan cultural values.
* Our Values - 
• We are patriotic and Independent.
• We are honest and trustworthy
• We treat our audiences with due respect
• We respect all human beings
• We respect Professionalism
",@itnsrilanka,2018-03-02T06:03:22Z,LK,eu,https://yt3.ggpht.com/-GARaqy8xlWxj-hejTbfzECxRqobL7835JcUGeIiyjiQNjuqN6eGCjaYn6rZK89AlrljMueF=s800-c-k-c0x00ffffff-no-rj,2870000,30351,2229778174,UUQTcNhAZidy1i9wwmdgf2Lw,2018-03-02 11:33:22+05:30,73466.38245856808
UCHhk9EHspPZejY9PnR1PLVg,Siyatha FM,"Siyatha FM operates Island wide in Sri Lanka on 98.2MHz and 98.4MHz FM. It is owned by Voice of Asia Network (Pvt) Ltd. (www.voa.lk), which also runs its sister Television channel Siyatha TV along with Radio Stations Real Radio, Kiss FM, Varnam TV & Varnam FM

Website: www.siyathafm.lk

Mobile Apps: Download our Mobile APPS from Android and Apple Stores for Free",@siyathafm,2016-07-04T10:55:17Z,LK,,https://yt3.ggpht.com/SwPjkaqScHzXRen-GscHf0ql7mbphhxxYLiQ710_Ay_kSLkSjefe6Ud1iyTnXlc5c4aoD5azDA=s800-c-k-c0x00ffffff-no-rj,393000,4795,139308559,UUHhk9EHspPZejY9PnR1PLVg,2016-07-04 16:25:17+05:30,29052.879874869657
UCTcATaNqlaCF4zkZp29BJRQ,Blok & Dino,This is the official YouTube channel dedicated to comedians Gehan Blok and Dino Corera.,@blokanddino,2018-11-09T08:30:33Z,LK,,https://yt3.ggpht.com/ytc/AIdro_lWxSVapcRe7ufpncxwixFTcVQy2URqZ501VTl4OnqIrA=s800-c-k-c0x00ffffff-no-rj,1060000,124,132498837,UUTcATaNqlaCF4zkZp29BJRQ,2018-11-09 14:00:33+05:30,1068539.0080645161
UCMQYRNX1Fg-HJ8Ey7Z3WPrA,"Wasthi Productions ""වස්ති""","Wasthi Productions ""වස්ති""  -  සම්ප්‍රදාය අතික්‍රමණයට..!! 

",@wasthi,2016-02-20T09:12:42Z,LK,,https://yt3.ggpht.com/ytc/AIdro_n0gCxAZHpikpiCtSpIzHNsDQnfojjEXFPI67yiHB4Ac0E=s800-c-k-c0x00ffffff-no-rj,2000000,87,255202539,UUMQYRNX1Fg-HJ8Ey7Z3WPrA,2016-02-20 14:42:42+05:30,2933362.5172413792
UCmNv8608OO9T6pONDTipm0A,Charana Beats,"ගොඩබිම අහස දිය එකලු කර නුවණැසින් චරණ
ජන මනස පුබුදුවන 
සල රූ වාහිනිය ""චරණ""
",@charanabeats,2021-01-17T12:42:30.441227Z,LK,,https://yt3.ggpht.com/46hyeHKZ-Iq1h95Y5rL1tlEtz0rbAFs1P-mG5NUGZyfoX4v84FHeYbWlLLBQMI7HQOhOwZWn-w=s800-c-k-c0x00ffffff-no-rj,225000,471,175617519,UUmNv8608OO9T6pONDTipm0A,2021-01-17 18:12:30.441227+05:30,372860.974522293
UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,"Sri Lanka Rupavahini (TV) Corporation, the State Television stands for the benefit of all Sri Lankans. We do recognise the peoples diversity of expectations, values , interests and needs. We reach our target groups in Sinhala, Tamil and English languages.
The Sri Lanka Rupavahini Corporation, the National Television Network was commissioned on 15th February 1982. Its studio complex is situated in Colombo the commercial capital of Sri Lanka.  

Our Vision is  The continuing Audio Visual Icon of Sri Lankans. Our Mission is With commitment and unity,creating timely, meaningful and intuitive programmes rich in knowledge, entertainment and education and disseminating them chiseled with state-of-the-art technology exceeding the expectations of Sri Lankans everywhere.  

Address : 
P.O. Box 2204, Independance Square
Colombo - 07
Sri Lanka00700 

Contact: 
Tel - +94 112 50 10 50
Fax -+94 112 58 09 29 





 
",@srilankarupavahinitv,2017-09-21T05:46:49Z,LK,,https://yt3.ggpht.com/7NmMiflInXJEcMgUWpDdreEqAouPMWxBqqewCENT1Z7v4SL_qa2_JWr8l3xFZlDPNwj2HHTV=s800-c-k-c0x00ffffff-no-rj,1470000,24753,315006858,UUT83ymyAGm7Gnk_4ifxjxIA,2017-09-21 11:16:49+05:30,12726.007271845838
UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,"Sri Lanka's No. 1 television channel that broadcasts contemporary content which uploads authentic Sri Lankan values. Launched in 2005, TV Derana is one of Sri Lanka's most popular television networks.

",@tvderanaofficial,2012-01-26T11:02:27Z,LK,,https://yt3.ggpht.com/OWplYI3G1FcxDjSPUgiIM-AlaQOAjOyUrcqtp_5TgOBm9rbtBwTDtPiXP9V7P3YGBRLgqh9mQg=s800-c-k-c0x00ffffff-no-rj,5910000,37480,5798604370,UURDDfbYPHX_GUJ4lcQYTc8A,2012-01-26 16:32:27+05:30,154711.9629135539
UCn0XmAUFv6d2tofMFEesSNw,Sirasa TV,"Welcome to the Official Sirasa TV YouTube Channel!

Sirasa TV has been at the forefront of the industry, catering to all three languages while pioneering reality television shows, franchise television programs, and daily soaps in Sri Lanka. Equipped with state-of-the-art audio-visual receiving and transmitting equipment, our signals are broadcast free-to-air across the country.

#SirasaTV #ThePeoplesChannel #LKA
",@sirasaofficial,2011-12-22T12:20:09Z,LK,,https://yt3.ggpht.com/G_QYdmFyJi6aEiLWMXBobJXa8NCiPK-3QArLTgciCeKTwKFZiYilXozbuFd_pR3AtDcXjTYwAg=s800-c-k-c0x00ffffff-no-rj,3580000,17560,2685059019,UUn0XmAUFv6d2tofMFEesSNw,2011-12-22 17:50:09+05:30,152907.6890091116
UCAhZgaf5PEpnStllKJRhvVg,IMC,,@imcmedia,2022-01-18T05:34:00.678638Z,US,,https://yt3.ggpht.com/3lThoQ6HCFElwnafyQGpzlDTR0cjapNsuMlL5rImC5eQi34N3euDIBXfaSPmXp6SZXzzR7CS2Lg=s800-c-k-c0x00ffffff-no-rj,6040,89,401256,UUAhZgaf5PEpnStllKJRhvVg,2022-01-18 11:04:00.678638+05:30,4508.494382022472
UCSfrW0G4yQy587afT5uCxFQ,Darshana Ukuwela - Physics,"ලංකාවේ වැඩිම ප්‍රතිඵල සහිත Physics පන්තිය 🏆🔥

▪️District 1st ලා 07ක්
▪️2023 ප්‍රතිඵල වලින් District මුල් 20ට 112ක්
▪️A සාමාර්ථ 700+
▪️A+B සාමාර්ථ 1500+
▪️F->A,C->A වූ වැඩිම ප්‍රමාණයක්

සියලු විමසීම්
Call - 0713444555(9am - 7pm)
Telegram - 0713444555
Whatsapp - 0713446666

#Smart_පරපුරේ_Next_Level_1
#Logical_Physics 
Dr.Darshana Ukuwela ☑️",@darshanaukuwelaphysics,2011-12-17T11:05:23Z,LK,,https://yt3.ggpht.com/1FuGTnqdNTusjyGkR7zvmXqdhBuaDZxw8GSCMOYo2rJ95bWISCdw-ZzLlAhTEvSsjwObEIMpPQ=s800-c-k-c0x00ffffff-no-rj,248000,1265,28979461,UUSfrW0G4yQy587afT5uCxFQ,2011-12-17 16:35:23+05:30,22908.664822134386
UCaXHgF7cAdDElEtgG2XSjlw,DP Education - O/L සිංහල මාධ්‍යය,"About Us
Dhammika & Priscilla Foundation is a not-for-profit organization focused on providing free quality education & healthcare facilities for all. DP Education is the digital learning platform that delivers the Foundation's vision of equal access to world-class free digital learning and healthcare in accelerating human capability development. DP Education O/L channel covers subjects such as Math, Science, Business Studies & all other O/L subjects with live classes & paper discussions.

Vision
We provide equal access to world-class digital learning, and healthcare facilities to develop  human capability to eliminate poverty.

Mission
Dedicated to transform learning and teaching experiences through free online education, best-in-class teachers, and the development of education infrastructure.

Leadership 
Dhammika Perera & Priscilla Perera are the Co-Founders of the Foundation. The overall direction of all initiatives are set by the Chairman of the Foundation, Dhammika Perera.

",@dpeducationolsubjects,2019-10-08T08:56:29Z,LK,,https://yt3.ggpht.com/6TTyOL5vTvaWZV2rrk1ofTGG0FC3nlL_5e7XjqupU8jHTdPRWsXVQlBVw5Klddi-hmFSI1Hu-g=s800-c-k-c0x00ffffff-no-rj,203000,2148,20099462,UUaXHgF7cAdDElEtgG2XSjlw,2019-10-08 14:26:29+05:30,9357.291433891993
UCY7Gd6C6q74h11ZAbie8xoQ,Randika Wijesinghe,"Randika Wijesinghe is an award winning, globally recognized personal development coach who assisted thousands of clients all over the world to reach their maximum potential. He is equipped with modern and eastern scientific behavioural modification tools.",@randikawijesinghe,2022-07-16T01:35:09.251766Z,,,https://yt3.ggpht.com/NA9WpFC07mhnot4ouFkR8lupMjDtmz9fzsd-0AD5XmO5eu8yGKmNhGbJBErAQccpEDBFJ4PP2Q=s800-c-k-c0x00ffffff-no-rj,148000,25,3024186,UUY7Gd6C6q74h11ZAbie8xoQ,2022-07-16 07:05:09.251766+05:30,120967.44
UCmzOKlGqbaaxVLzmlQ1xjwA,Edu sinhalen - Edu සිංහලෙන්,"අ.පො.ස (සා.පෙළ) සිංහල සාහිත්‍යය  හා  කාණ්ඩ විෂයක් වන සිංහල සාහිත්‍ය රසාස්වාදය විෂයන් මෙන්ම ව්‍යාපාර හා ගිණුම්කරණ අධ්‍යනය  ඉගැන්වීම.

නව 10 හා 11 වසර සිසුන් සදහා නොමිලයේ ව්‍යාපාර හා ගිණුම්කරණ අධ්‍යනය පන්ති පැවැත්වේ.
2024 O/l
2023 O/l

2022 (2023) A/l examination 
Accounting  -          A
Business Studies - A
Economics   -          A


",@edusinhalen-edu9175,2020-11-13T15:56:05.013896Z,LK,,https://yt3.ggpht.com/ytc/AIdro_mnoS4kxXLXbfy4pA0QKAnkT9eqYulB5pCHsKW1ryl-Vw=s800-c-k-c0x00ffffff-no-rj,49900,332,4905208,UUmzOKlGqbaaxVLzmlQ1xjwA,2020-11-13 21:26:05.013896+05:30,14774.722891566265
UCzPYh2hr7QSSLs7gUX0ofFg,Sinhala Guitar Lessons,"Music❤️
Guitarist🤘

Contact Me :-

Harithawickramasinghe@gmail.com

Facebook : https://www.facebook.com/Sinhala-Guitar-Lessons-489231484917208/

Instagram : https://www.instagram.com/haritha_hareendra/",@sinhalaguitarlessons,2012-08-01T14:16:02Z,LK,,https://yt3.ggpht.com/ytc/AIdro_k_zegBtdB7Np810Jx3h0zEK2yvyAOhpQVuXQZIbXqTA40=s800-c-k-c0x00ffffff-no-rj,246000,75,10471202,UUzPYh2hr7QSSLs7gUX0ofFg,2012-08-01 19:46:02+05:30,139616.02666666667
UCUz06yHz7YZWF737tof7rYQ,Dinesh Muthugala,,@dineshmuthugalaofficial,2011-06-03T03:00:13Z,LK,,https://yt3.ggpht.com/y_Qz8Z7LZZLQkHJERxVQeUg2nyJoXkV42qugKso3muKTqoAJfp5VseL9P9otMdJcgzIMJPdSCw0=s800-c-k-c0x00ffffff-no-rj,832000,232,56098180,UUUz06yHz7YZWF737tof7rYQ,2011-06-03 08:30:13+05:30,241802.5
UC0CXMeU0432EMgBnlBaY_yA,DP Education - ගණිතය,"About Us
Dhammika & Priscilla Foundation is a private charitable organization focused on providing free quality education and healthcare facilities for all. DP Education is the digital learning platform that delivers the Foundation's vision of equal access to world-class free digital learning and healthcare in accelerating human capability development that leads to poverty alleviation.
DP Education Sinhala medium YouTube channel has all subjects that are taught in Sinhala language. 

Vision
We provide equal access to world-class digital learning, and healthcare facilities to develop  human capability to eliminate poverty.

Mission
Dedicated to transform learning and teaching experiences through free online education, best-in-class teachers, and the development of education infrastructure.

Leadership 
The Foundation is led under the direction of the Founder & Chairman Mr. Dhammika Perera.


",@dpeducationmathssinhala,2019-10-18T04:11:05.559491Z,LK,,https://yt3.ggpht.com/PDN_c_9oxeeM1kKQiC9D6vIexLVZ0c9hA5dPcG88CZmF30SKr44zyL25UTgY6kwOLuwLEzHvR0Q=s800-c-k-c0x00ffffff-no-rj,867000,3265,104322990,UU0CXMeU0432EMgBnlBaY_yA,2019-10-18 09:41:05.559491+05:30,31951.911179173047
UCR5y9OV23c0jJ4RGwDvGnLw,Science With Ruchira,"Science With Ruchira is a channel devoted to presenting science, mathematics, and philosophy concepts in a simplified manner for a Sinhala-speaking audience",@sciencewithruchira,2021-05-22T17:42:33.283067Z,LK,,https://yt3.ggpht.com/0ZlIhuDyfkD28GIBuJHS1OybqUiKM70O9ealG5-aAEuhPbf6QB_SvFzoOAxk3y7NUuBVS_cZeEo=s800-c-k-c0x00ffffff-no-rj,602000,302,38306906,UUR5y9OV23c0jJ4RGwDvGnLw,2021-05-22 23:12:33.283067+05:30,126844.05960264901
UCORaJXeMZxCvf-z4_fdGZlg,Seri saranna  - සැරි සරන්නා,"""ආයූ බොහෝ වේවා!!
 
මගේ නම මනොජ් ප්‍රියශාන්ත 
ඉතිම් ගොඩක්  කාර්යබහුල ජිවන රටාවක් උනත් ලැබේන නිවාඩු දවස් කිහිපයේ කොරියාවේ
 ලස්සන තැන් වල ඇවිදින්න මම කැමතියි.
 කොරියාව වගේ රටක ලස්සන පරිසරය ,ජිවන රටාව ,කෑම බිම ,කලාව,වගාවන්
 වගේ විවිද මාතෘකා ඔස්සේ මාගේ අත්දැකීම්  මේ චැනල් එක හරහා ඔයාලා සමග බෙදාගන්න මම බලාපොරොත්තු වෙනවා ඉතිම් ඔයාලා මගේ චැනල් එකට කැමති නම් මගේ චැනල් එක සබ්ස්ක්‍රයිප් කරලා දිගටම මාත් එක්ක රැදෙන්න ආරාධනා කරනවා.

බොහොම ස්තුතියි
මම මනොජ් ප්‍රියශාන්ත

Hi everyone, 
welcome to my channel ,
My name is manoj priyashantha ,i am a srilankan who live
 in south korea 🇰🇷  

In this channel I will share travel vlogs,korea food , 
 korea life styles and everything with my experience with you.
If you like my videos please do subscribe . 
thank you

 follow me on facebook .


",@serisaranna,2020-09-17T12:50:23.922246Z,KR,en,https://yt3.ggpht.com/mTgAB-BrCFKQbbCCe0nAYKPUFgRsbvsmKFyttb4akuh1aLTfh98ZRy874teuiAgfEhd55omzQQ=s800-c-k-c0x00ffffff-no-rj,284000,124,22933908,UUORaJXeMZxCvf-z4_fdGZlg,2020-09-17 18:20:23.922246+05:30,184950.87096774194
UCjW1eTO3QBPr1M_Z7UA0crA,Pawani Perera,"හිත් ලස්සන ආදරණීය යාළුවො හැමෝවම හරි ආදරෙන් මගේ channel එකට පිලිගන්නවා 🙏🏻♥️!! 
මගේ channel එක හරහා මගේ ආදරණීය පවුල සමග ජපානයේ අපි ගතකරන එදිනෙදා ජීවිතය ඔයාලා සමග බෙදා ගන්නවා 🥰♥️
මේ කෙටි ජීවන ගමනේ ඔයාලා වැනි ආදරණීය හදවත් සමග යන මේ ගමන සැමදා මගේ ජීවිතේ ලස්සන මතකයක් වේවි ♥️!!
ඔබේ නිහතමානී ආදරයට හැමදාමත් ආදරෙයි 🙏🏻💕!! 
",@pawaniperera7214,2020-02-03T02:48:33.575521Z,,,https://yt3.ggpht.com/C_Jb0YoP9DE74B2ibAd52V-yiw2wAHFDgqZzX7IaaIuQEEtvmQRK6pwuox77y-Poc__bI5Luxw=s800-c-k-c0x00ffffff-no-rj,444000,422,139242670,UUjW1eTO3QBPr1M_Z7UA0crA,2020-02-03 08:18:33.575521+05:30,329958.9336492891
UCAo_wAxH1WT6rFmK5yCd1Cg,Yash and Hass,"HEY GUYS! Welcome to our Channel! Hope you guys enjoy our videos.
If you want to be a part of our journey, SUBSCRIBE & JOIN THE FAM.

♡Follow us on Social Media♡
 Instagram: @yashodadesilva @hasitha_s

CONTACT US ON
📧 yashandhass@gmail.com


",@yashandhass,2021-01-13T10:23:25.876648Z,AU,,https://yt3.ggpht.com/ytc/AIdro_m3mUDNJO-xGF9bW6z4CqPJiYfwR-_fiQtZI9l-8rHVBAI=s800-c-k-c0x00ffffff-no-rj,669000,389,138738101,UUAo_wAxH1WT6rFmK5yCd1Cg,2021-01-13 15:53:25.876648+05:30,356653.2159383033
UC3aHg03ut7j87ACMxy215_Q,Kethaka Yasiru,,@kethakayasiru,2022-12-27T14:29:17.895086Z,,,https://yt3.ggpht.com/MnPydvQQTT_JtUivHrgUsIUzH8iF8E1QOBSL5OUulPAloR_NyWc4KmrbyC-ZAtfvPHd5hIme1oA=s800-c-k-c0x00ffffff-no-rj,8930,0,0,UU3aHg03ut7j87ACMxy215_Q,2022-12-27 19:59:17.895086+05:30,0.0
